Source,Target,Type,id,label,timeset,weight
1,2,Directed,124,,,1.0
2,4,Directed,125,,,1.0
2,9,Directed,126,,,1.0
3,4,Directed,127,,,1.0
4,5,Directed,128,,,1.0
4,7,Directed,129,,,1.0
5,12,Directed,130,,,1.0
5,6,Directed,131,,,1.0
5,8,Directed,132,,,1.0
5,11,Directed,133,,,1.0
6,12,Directed,134,,,1.0
6,7,Directed,135,,,1.0
7,12,Directed,136,,,1.0
7,8,Directed,137,,,1.0
7,36,Directed,138,,,1.0
8,9,Directed,139,,,1.0
8,36,Directed,140,,,1.0
9,10,Directed,141,,,1.0
10,11,Directed,142,,,1.0
12,13,Directed,143,,,1.0
12,15,Directed,144,,,1.0
12,16,Directed,145,,,1.0
12,17,Directed,146,,,1.0
12,18,Directed,147,,,1.0
12,20,Directed,148,,,1.0
12,22,Directed,149,,,1.0
12,31,Directed,150,,,1.0
12,32,Directed,151,,,1.0
12,23,Directed,152,,,1.0
13,14,Directed,153,,,1.0
13,16,Directed,154,,,1.0
13,20,Directed,155,,,1.0
14,19,Directed,156,,,1.0
14,16,Directed,157,,,1.0
15,18,Directed,158,,,1.0
16,17,Directed,159,,,1.0
17,20,Directed,160,,,1.0
18,19,Directed,161,,,1.0
19,20,Directed,162,,,1.0
20,21,Directed,163,,,1.0
20,22,Directed,164,,,1.0
23,24,Directed,165,,,1.0
23,27,Directed,166,,,1.0
23,28,Directed,167,,,1.0
23,31,Directed,168,,,1.0
24,25,Directed,169,,,1.0
24,27,Directed,170,,,1.0
25,26,Directed,171,,,1.0
25,27,Directed,172,,,1.0
14,27,Directed,173,,,1.0
28,29,Directed,174,,,1.0
28,31,Directed,175,,,1.0
30,31,Directed,176,,,1.0
30,32,Directed,177,,,1.0
31,32,Directed,178,,,1.0
31,33,Directed,179,,,1.0
31,35,Directed,180,,,1.0
32,33,Directed,181,,,1.0
33,36,Directed,182,,,1.0
34,35,Directed,183,,,1.0
34,36,Directed,184,,,1.0
35,36,Directed,185,,,1.0
